GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Rate(%),Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,
33DAOPS0682B2ZO,ALL IS WELL,16/22-23,Regular,10/01/2023,1628.00,Delhi,No,18,1380.00,248.40,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
29AAECC0622P1ZH,CLOOD ON LEARNING PRIVATE LIMITED,CIL/2022-23/316,Regular,10/01/2023,23600.00,Delhi,No,18,20000.00,3600.00,0.00,0.00,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
03AAHFH7698N1ZN,HYPE CREATIONZ,885,Regular,10/01/2023,11086.00,Delhi,No,18,9395.00,1691.10,0.00,0.00,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
06AACCF1978M1Z9,FLUID3 INFOTECH PRIVATE LIMITED,FLU/22-23/10-121,Regular,07/12/2022,14160.00,Delhi,No,18,12000.00,2160.00,0.00,0.00,0.00,Dec'22,14/01/2023,Yes,,100%,,,,
06AACCF1420G1Z9,FELIX ADVISORY PRIVATE LIMITED,FE/2022-23/01773,Regular,09/01/2023,17700.00,Delhi,No,18,15000.00,2700.00,0.00,0.00,0.00,Jan'23,08/02/2023,Yes,,100%,E-Invoice,ace6d49a4c512d92d0094f2fd93d858999ea4bd2654e8d015038b17384827b9f,14/01/2023,
07AAECT8346F1Z6,TATA SIA AIRLINES LIMITED,I070000013341836,Regular,09/01/2023,4200.00,Delhi,No,5,4000.00,0.00,100.00,100.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
07AAFCT4662B1ZI,TYCHO TECHNOLOGIES PRIVATE LIMITED,INV-000252,Regular,09/01/2023,51920.00,Delhi,No,18,44000.00,0.00,3960.00,3960.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
27AALCS9822Q1ZC,SODEXO SVC INDIA PRIVATE LIMITED,2223CI0000771120,Regular,07/01/2023,232.59,Delhi,No,18,197.11,35.48,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,a55cb7a6db56e9dbe906c5bfba9484a96e06916b4ee260c5fecda699906daad4,07/01/2023,
06AAACM5586C1ZL,Microsoft Corporation (India) Pvt Ltd,TIO23HR100944762,Regular,23/01/2023,2427.52,Delhi,No,18,2057.22,370.30,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
24AAUFV8595R1ZM,VR4CREATIVITY TECH LLP,00017/22-23,Regular,05/01/2023,11328.00,Delhi,No,18,9600.00,1728.00,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
08IDZPS7757A1ZK,BHAVYA IT SOLUTIONS,BITS-22-23-SRV11,Regular,10/01/2023,2124.00,Delhi,No,18,1800.00,324.00,0.00,0.00,0.00,Jan'23,13/02/2023,Yes,,100%,,,,
29AWXPK4541M1ZM,BRIDGEICON IT SERVICES,FY2022-23-01-229,Regular,20/01/2023,11522.00,Delhi,No,18,9764.00,1757.52,0.00,0.00,0.00,Jan'23,08/02/2023,Yes,,100%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6645823.14,518511.18,337525.01,337525.01,0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,protechmind,,,,,,,,,,,
,,,,,,,,,,,jmr infosystem chp,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,295702.91,,,,,,,,,,,
,,,,,,,,,,,319600.74,,,,,,,,,,,
,,,,,,,,,,,23897.83,,,,,,,,,,,
