GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Rate(%),Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,ESDL012300012773,Regular,01/01/2023,271881.88,Delhi,No,18,230408.40,0.00,20736.74,20736.74,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,265d0e13a641ab5253e63fabae3cbb7b553bca964bbcd2d6830f5c6cab956cd7,04/01/2023,
07AAPCS9575E1ZP,DELHIVERY LIMITED,EPA23286819,Regular,15/01/2023,109.64,Delhi,No,18,92.92,0.00,8.36,8.36,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
07AAPCS9575E1ZP,DELHIVERY LIMITED,EPA23292109,Regular,31/01/2023,166.27,Delhi,No,18,140.91,0.00,12.68,12.68,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
24AAMCA2213N1ZQ,Appitsimple Infotek Private Limited,AI222301500781,Regular,31/01/2023,236000.00,Delhi,No,18,200000.00,36000.00,0.00,0.00,0.00,Jan'23,09/02/2023,Yes,,100%,E-Invoice,8074c0d9793502de4c3b0024ee4b68dd05d3b90b0c4ef6a7fd031b7600dd84a4,08/02/2023,
06AACCG0527D1Z8,GOOGLE INDIA PVT LTD,4653469559,Regular,31/01/2023,4708.20,Delhi,No,18,3990.00,718.20,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
06AACCG0527D1Z8,GOOGLE INDIA PVT LTD,4654256689,Regular,31/01/2023,589.76,Delhi,No,18,499.80,89.96,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
06AACCG0527D1Z8,GOOGLE INDIA PVT LTD,4661177752,Regular,31/01/2023,275088.67,Delhi,No,18,233125.99,41962.68,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
07AACCR7832C1ZJ,Reliance Communications Ltd.,DL28000268496,Regular,15/01/2023,1180.00,Delhi,No,18,1000.00,0.00,90.00,90.00,0.00,Jan'23,08/02/2023,Yes,,100%,E-Invoice,84c4be1b1c6c70604f10c001e92cdbf3e8f5362390220b0665778c45082ca7e2,17/01/2023,
07AACCR7832C1ZJ,Reliance Communications Ltd.,DL28000268505,Regular,15/01/2023,5900.00,Delhi,No,18,5000.00,0.00,450.00,450.00,0.00,Jan'23,08/02/2023,Yes,,100%,E-Invoice,6a4b2decf6facebf401df3ccd53a519ecc40d3aed11ec677ac376c95e26795a2,17/01/2023,
07AAICP2066N1Z0,PROTECHMIND SOLUTIONS PRIVATE LIMITED,FY22/23-252,Regular,03/01/2023,330144.70,Delhi,No,0,0.00,0.00,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
07AAICP2066N1Z0,PROTECHMIND SOLUTIONS PRIVATE LIMITED,FY22/23-252,Regular,03/01/2023,330144.70,Delhi,No,18,279783.64,0.00,25180.53,25180.53,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
24AAVPV4502D1ZM,NISHI TELECOMM,GST/2223/074,Regular,08/12/2022,271.00,Delhi,No,18,230.00,41.40,0.00,0.00,0.00,Dec'22,13/01/2023,Yes,,100%,,,,
07AAACZ8912H1Z4,91 SPRINGBOARD BUSINESS HUB PRIVATE LIMITED,RI-NP-4982,Regular,05/01/2023,501.50,Delhi,No,18,425.00,0.00,38.25,38.25,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,50b52e3d360c91ba2f8a4af78ede943c176ff7d56c0782eec1bd5bfa6e73af9e,06/01/2023,
07AAACZ8912H1Z4,91 SPRINGBOARD BUSINESS HUB PRIVATE LIMITED,RI-NP-4983,Regular,05/01/2023,16815.00,Delhi,No,18,14250.00,0.00,1282.50,1282.50,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,76ba2d5e64b3cc0fa106a3c28d8ff10082e376d94b4fb1cd41bbd5f9bde2ba14,06/01/2023,
07AAACZ8912H1Z4,91 SPRINGBOARD BUSINESS HUB PRIVATE LIMITED,RI-NP-4996,Regular,16/01/2023,32543.00,Delhi,No,18,27579.00,0.00,2482.11,2482.11,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,76431e21226b481d4f58b5e170ab8c365ccf3c07093cdd6355bde0be852d2ca6,19/01/2023,
29AAGCR4375J1ZU,RAZORPAY SOFTWARE PRIVATE LIMITED,74ZF9WDSBCPO0123,Regular,31/01/2023,27640.02,Delhi,No,18,23261.90,4187.14,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1222301BC99312,Regular,20/01/2023,9030.00,Delhi,No,5,8600.00,430.00,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1222301BD79323,Regular,28/01/2023,699.00,Delhi,No,5,666.00,33.00,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
24AAICP0219P1Z9,Phonon Communications Private Limited,2223GJV392,Regular,11/01/2023,100606.00,Delhi,No,18,85259.00,15346.62,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,7208a4f6cc4077ca0310e096b8a07ec3484ce99fdf2b16ec5474e7cb55f29bd7,11/01/2023,
07AAACM0828R1Z5,MAHANAGAR TELEPHONE NIGAM LTD,M800112018022930,Regular,10/01/2023,1180.00,Delhi,No,18,1000.00,0.00,90.00,90.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
07AAACM0828R1Z5,MAHANAGAR TELEPHONE NIGAM LTD,M800112018022931,Regular,10/01/2023,1180.00,Delhi,No,18,1000.00,0.00,90.00,90.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
07AAACM0828R1Z5,MAHANAGAR TELEPHONE NIGAM LTD,M800112018023142,Regular,10/01/2023,1180.00,Delhi,No,18,1000.00,0.00,90.00,90.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
07AAACM0828R1Z5,MAHANAGAR TELEPHONE NIGAM LTD,M800112018023346,Regular,10/01/2023,1525.98,Delhi,No,18,1293.20,0.00,116.39,116.39,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
